listingId,sellerId,title,description,imagePath,price,status,submitTime,quantity
L001,ADMIN_001,Old iPhone,Used iPhone 11,iphone.png,200.0,REMOVED,2025-12-08T12:33:40.898736200,1
L002,ADMIN_002,MacBook,M1 MacBook Air,mac.png,900.0,Pending,2025-12-08T12:33:40.898736200,1
L003,SELLER-001,iPhone 14,Almost new iPhone,img1.jpg,699.99,Reserved,2025-12-01T14:30,1
L004,SELLER-001,Java Book,Data Structures Textbook,img2.jpg,45.5,Pending,2025-12-02T10:15,2
L005,SELLER-001,Headphones,Noise Cancelling Headset,img3.jpg,120.0,Reserved,2025-12-03T09:40,1
L006,SELLER-001,Laptop Stand,Adjustable Aluminum Stand,img4.jpg,35.0,Rejected,2025-12-04T11:20,5
LST-59ABB8F8,SELLER-FC0FF2B9,iPhone 13 Pro,Excellent condition  95% battery health,default.png,1203.04,Approved,2025-11-28T09:45:06.016281900,2
LST-831D37FE,SELLER-2EE66CD6,MacBook Air M2,2023 model  barely used,default.png,708.99,Pending,2025-12-04T23:45:06.016281900,2
LST-A158CE35,SELLER-2D176B99,Calculus Textbook,10th edition  minimal highlighting,default.png,1416.15,Pending,2025-11-10T23:45:06.016281900,3
LST-C7705FBE,SELLER-FC0FF2B9,Desk Lamp,LED  adjustable brightness,default.png,658.09,Approved,2025-11-14T03:45:06.016281900,3
LST-5052ECE6,SELLER-001,Winter Jacket,North Face  size M,default.png,635.98,Approved,2025-11-28T15:45:06.016281900,1
LST-709431F7,SELLER-2EE66CD6,Basketball,Official size  good grip,default.png,1351.68,Approved,2025-11-29T11:45:06.016281900,2
LST-7C469C4C,SELLER-001,Coffee Maker,Keurig  works perfectly,default.png,603.04,Pending,2025-11-15T12:45:06.017435700,1
LST-3B5F8265,SELLER-001,Wireless Mouse,Logitech  Bluetooth,default.png,1532.43,Approved,2025-11-12T22:45:06.017435700,3
LST-3FF92156,SELLER-001,Study Desk,Wooden  sturdy  some scratches,default.png,1889.34,Approved,2025-11-15T19:45:06.017435700,1
LST-EC29F700,SELLER-2D176B99,Backpack,SwissGear  laptop compartment,default.png,1785.19,Approved,2025-11-28T18:45:06.017435700,1
LST-ECA2492D,SELLER-001,Ergonomic Cotton Car,Velit similique nulla laborum qui ullam ut nobis voluptatem est iste maiores perferendis.,default.png,39.63,Approved,2025-11-11T15:45:06.021876900,1
LST-A7D66E11,SELLER-2EE66CD6,Mediocre Wool Knife,Soluta similique minus nemo animi aut quia amet quia assumenda voluptas.,default.png,109.81,Approved,2025-11-15T15:45:06.022972900,3
LST-D1A13863,SELLER-001,Sleek Silk Gloves,Excepturi ut numquam quis molestiae quis asperiores autem eius autem sit hic sit repellendus cupiditate.,default.png,1084.22,Pending,2025-11-29T01:45:06.022972900,2
LST-BE26A909,SELLER-2EE66CD6,Incredible Linen Shoes,Sint natus culpa a ut repudiandae est in et consequatur qui fugiat.,default.png,345.31,Approved,2025-11-14T17:45:06.022972900,3
LST-5A2ABC47,SELLER-2EE66CD6,Synergistic Steel Table,Ipsum vitae vitae itaque voluptas ut aut rerum cum ex aut architecto rerum ut impedit.,default.png,342.87,Pending,2025-12-07T09:45:06.022972900,2
LST-73679841,SELLER-2EE66CD6,Fantastic Cotton Plate,Expedita ipsam ut tenetur sed magnam dolorem modi accusantium veniam odit.,default.png,443.65,Approved,2025-11-12T10:45:06.022972900,3
LST-704B5182,SELLER-FC0FF2B9,Incredible Wool Clock,Sint voluptatibus non non et et quidem molestiae accusantium vitae culpa est occaecati doloribus.,default.png,1716.31,Reserved,2025-12-03T01:45:06.024061600,2
LST-3FB8EF38,SELLER-001,Ergonomic Silk Bottle,Repellendus sequi laborum harum debitis reiciendis adipisci ex consequatur minus dolorem ut aspernatur.,default.png,1142.02,Approved,2025-11-20T13:45:06.024061600,2
LST-8854FF3E,SELLER-FC0FF2B9,Incredible Linen Wallet,Aut qui quod hic provident porro et debitis aperiam consequatur et eaque.,default.png,1670.73,Reserved,2025-11-20T08:45:06.024061600,1
LST-5F2A36F4,SELLER-2EE66CD6,Durable Iron Pants,Qui culpa minus voluptatem consequatur enim amet ab aut consectetur nulla omnis in est.,default.png,315.81,Approved,2025-11-19T18:45:06.024061600,3
